,date,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
10,2019-01-11,6306,17266,44848,54577,29786,17067,13463,4741,3508,17461,3005,4979,7943,11698,14312,20124,18932,6801,10218,3919,9794,9511,6170,37842,2471,13960,12499,18975,25433,20690,11538,34849,21603,38083,32816,12027,40466,30244,28910,24816,26320,167861,46086,24704,27803,30482,39221,34311,27275,14833,35879,8457,10822,21216,7266,4099,3809,14817,10606,13464,47273,9475,15089,8308,24278,28556,35131,44000,47528,28542,34624,82456,25919,39261,42092,25887,73110,22789,19096,16158,20642,16070,37832,21065,9349,14625,43464,30927,26707,29074,15300,12147,6249,5743,7187,11414,10630,16683,19858,32805,29321,15866,13550,13774,14076,13393,12268,11094
11,2019-01-12,4873,11716,27017,54834,18295,12196,9657,4138,2843,10978,2170,3313,8845,8058,14015,6383,8162,4722,9510,3825,6681,7155,2894,29728,2041,12188,10093,14994,19016,17359,9859,32946,19650,30056,26510,5978,35104,24861,22897,20234,12976,171630,47416,21248,20665,29358,38584,30384,22137,10296,27443,6966,7884,17391,7462,3482,2147,10305,9068,12038,43917,6927,12973,6997,19468,19941,33154,40865,36969,23300,34942,86528,17796,37476,37209,22313,67267,17723,15900,10260,15745,11337,38392,15538,10336,12795,22423,19964,19046,22287,10293,9543,4990,3072,6600,9042,9999,14572,15128,23854,25694,12533,11097,11968,10905,11341,8804,8956
12,2019-01-13,4533,9059,21455,43828,15022,9418,7521,3553,2311,7810,1853,3046,9080,7077,11257,4947,6005,3874,7647,3330,5255,5581,2507,21763,1949,11518,8297,12581,15472,15163,8452,27362,15946,22771,22444,4914,29206,20421,18854,17147,12319,166369,39555,16499,19579,31736,32932,26009,20613,8137,21289,5844,7315,15422,7725,2737,1986,8132,7828,11630,42013,6507,11745,5839,16713,15967,27942,38474,30719,19308,31537,75025,15170,31367,27980,17762,55634,14151,13139,8180,14494,9949,32353,11986,11793,10610,17645,16349,14834,19161,7656,7416,4331,2371,5562,6904,8444,12630,13144,20436,22666,10282,9011,9620,9042,9904,7451,7335
13,2019-01-14,5421,15639,41784,46149,27641,14612,12212,4243,3179,14938,2650,4530,6172,8854,11170,17404,17872,5916,9094,3480,8168,8542,5850,30074,2259,13015,11293,16992,22035,16661,9950,27730,17955,33972,28624,10257,36524,27436,26252,22224,26240,146258,39151,23757,25729,27104,32369,27713,24301,13694,31819,7616,9182,18339,6255,3775,3422,10376,9410,11850,38821,8559,13667,7730,22565,25541,31078,37840,43008,25941,32477,69738,23672,32528,36075,22264,63815,20646,17138,14760,18051,14849,35345,18816,8322,12967,40304,25915,24933,26622,9016,11220,5388,5161,6309,10149,9685,14589,18313,29743,25641,14842,12670,12180,12957,12189,10314,9929
14,2019-01-15,5271,16020,42638,47171,28543,14969,12452,4393,3457,15127,2663,4663,7677,8946,12217,17883,18442,5964,9237,3536,8211,8791,6054,30849,2373,13289,11285,17015,22875,16657,10370,27896,18680,34478,30396,10582,37711,28430,27160,22997,26964,140710,40466,23525,25520,28048,33623,29442,24613,14022,32459,7729,10173,18643,7250,3780,3699,11645,9484,11780,37604,8656,13483,7600,22983,26443,32669,38669,44437,26541,32090,69998,24557,33430,37010,23491,64158,22113,17323,15102,18193,15014,33824,19368,8764,13078,40816,26242,25689,26689,8751,11088,5444,5218,6299,10582,9851,13997,18553,30497,26466,14748,12860,12512,13230,12449,10240,10048
15,2019-01-16,5417,16706,43566,49206,29121,15855,13016,4537,3361,15516,2667,4534,5863,8921,12515,18640,18856,5944,9494,3191,8566,8902,6865,30689,2429,12870,11498,17260,23510,16991,10666,28241,18990,35788,29821,10741,38270,27777,27626,23095,26406,142961,42211,23854,25924,26270,30459,27522,24378,14027,32195,7862,10095,17971,6697,3877,3561,11221,9310,10008,32363,8556,13198,7772,23139,26609,32149,39661,45221,27298,30999,70246,26157,33756,37768,24060,66352,22597,17836,15128,18706,13799,34220,19666,7930,12800,42864,27318,26876,26030,8736,11049,5478,5488,6549,10911,10291,13984,19342,30786,26903,15051,12732,12919,13802,12628,10065,10035
16,2019-01-17,5394,16455,43304,49392,29074,15704,12778,4533,3384,15666,2694,4766,7119,9241,12694,18273,18499,6263,9526,3401,8307,8984,6375,34545,2420,12951,11531,17371,23657,16733,10490,28845,19230,35212,30018,10390,38159,28931,27477,23205,26005,144306,41867,23765,25851,27720,33543,28366,24875,13898,32371,7997,10208,18543,7463,3965,3616,11604,9354,10234,33426,8724,13389,7749,23423,26154,32735,39241,45347,27400,31983,71472,24784,34693,38870,24179,66252,21936,17675,15471,19164,14839,37673,20030,8257,13313,42543,27922,26194,27454,8652,11083,5676,5295,6590,10733,10123,14317,19246,31164,26502,15076,13187,12766,13593,12729,10304,10270
17,2019-01-18,6473,17972,45515,57797,29797,16753,13450,4709,3676,17297,3015,5143,9258,10756,16312,18801,19782,7051,10957,4095,9274,10412,6590,37845,2885,14658,12731,19382,25126,19075,11450,33112,21224,36674,34014,10505,41450,31173,29497,25019,27015,167983,47593,26199,27392,31551,39607,33427,28000,14861,35296,8603,11111,20994,8066,4255,3835,12296,10589,12646,42165,9615,15163,8424,25683,27480,37153,45822,49311,29236,35359,92090,25837,37924,44003,26742,75575,23889,19724,16186,22157,16323,41957,21130,10139,14648,43467,29586,27387,29287,9413,12661,6286,5852,7416,11387,11816,16498,19941,32444,29311,16615,14423,14798,14887,13810,10977,11235
18,2019-01-19,5713,15552,37479,57672,22246,13203,11401,4606,3329,12827,2659,3831,10880,8643,14566,13217,13523,5056,10417,4043,8295,8408,5512,50684,2371,13807,12024,16956,21076,17829,11035,30669,20280,33778,35966,7752,38954,28793,27582,23778,17127,176340,48496,23479,23917,31337,39058,31073,25092,11773,29899,7854,8686,19796,7097,3981,2176,9634,10238,13669,46602,9056,14829,8056,22586,23673,35020,45716,43477,27581,35232,87540,20320,38072,40989,26227,74489,20389,17629,14060,20421,14709,44442,18767,11588,15644,35253,21824,23477,27218,8257,11561,5655,4704,7526,9890,10808,16386,17581,29408,27457,15048,12929,13528,13289,12747,10387,10624
19,2019-01-20,4726,9828,21123,46473,14351,9069,7962,3749,2520,8097,1740,2661,8372,5981,11557,5424,7238,3622,8016,3148,5421,6201,3148,43921,2194,11021,8872,13270,15118,15958,8895,26767,16609,24522,31557,4494,30296,21627,20045,17905,11346,168869,40552,17779,19429,26502,33135,25439,21110,8139,21882,5832,6239,15338,7281,3061,1721,7676,7663,11720,36766,6716,11482,6113,16762,16430,28625,39041,32362,20772,31444,78899,14148,32112,30852,19613,58940,15203,14144,8552,17238,9151,37602,12435,10781,12893,17557,14832,15766,18797,6551,8445,4259,2352,5782,7289,8939,14075,13080,20272,23132,10697,9788,10231,9788,9882,7393,7812
20,2019-01-21,5753,16263,43409,48409,25107,15416,12277,4454,3348,13573,2562,3727,5554,8511,13520,17845,17201,5029,9469,3228,8459,8115,6032,39679,2294,12639,11528,17214,22729,16201,10563,28066,19187,35225,32751,9527,38068,28320,27461,22985,26725,158171,40362,24237,24133,26648,30539,26908,24459,12815,31494,7802,10051,17373,6310,3786,3479,11251,9224,10366,33138,8598,13350,7746,22197,26043,32323,40320,42553,27196,31942,75462,20973,35319,37392,24258,64388,20684,18052,14653,18865,13825,37923,19500,8165,14191,40777,25130,25411,26963,8526,11007,5504,5348,6522,10670,10275,14481,18655,31069,25908,14805,12531,12841,13325,12484,9995,10187
21,2019-01-22,5554,16239,43050,49572,25884,15345,12329,4528,3508,13504,2717,3725,7027,8641,12019,18045,17378,5126,9383,3247,8366,8224,5901,36288,2199,12600,11711,17121,23052,16581,10725,28769,19147,36030,36842,9407,37828,28401,27393,22668,27185,153876,42118,26097,24610,27273,32064,28239,25272,12982,31809,7885,10108,18613,7299,3835,3525,11168,9302,10658,34160,8682,13419,7616,22029,26122,32633,40362,43214,27369,31445,75043,21892,35130,38666,24958,64370,20624,17849,14711,17814,14535,35108,19762,8467,14280,41394,25551,25188,26703,8447,11081,5647,5274,6964,10270,10187,14224,18402,30707,26753,14819,12480,12675,13263,12545,9942,10179
22,2019-01-23,5915,16620,43334,52696,25511,15460,12498,4727,3549,13628,2783,3751,8022,8782,13522,18298,17530,5319,9670,3522,8405,8331,5959,37585,2199,12832,12004,17795,23895,16850,10796,29473,19868,36687,39218,9596,38427,28899,27636,23243,27133,157888,43788,26721,25011,27952,33069,28899,26581,13223,32888,8214,10505,18653,7532,4008,3764,12195,9641,11464,36940,8947,13858,8218,22683,26581,33370,41580,43608,27823,32646,77392,22261,35677,38434,25600,66032,20774,18252,15081,18430,15080,36159,19981,8904,14745,42060,25917,26104,27390,8535,11281,5460,5535,6804,10281,10325,15043,18490,31859,27252,15295,12785,13457,13399,12554,10260,10170
23,2019-01-24,5992,16859,43494,52129,27802,15697,12742,4643,3486,13576,2858,3916,8910,9170,13805,18424,17362,5848,9952,3756,8573,8332,5935,31816,2629,13528,12120,17852,23575,17153,10818,29806,20156,36646,41066,9825,38519,28838,27994,23318,27220,160139,43805,26809,25369,28838,34125,29239,26080,13630,33239,7971,10176,18683,7620,4065,3543,11503,9692,11468,38942,8839,13902,7895,23046,26181,34022,41337,43817,28092,33532,77428,23419,36350,39547,25802,68029,20998,18200,15172,18130,15239,37201,20239,9491,14602,42623,25207,25382,28246,8415,11545,5564,5505,6805,10373,10320,14958,18498,31262,27276,15379,13453,13136,13187,12378,10289,10094
24,2019-01-25,6969,17700,44571,57321,29165,15959,13292,4932,3766,14612,2944,3910,8991,9271,14809,18526,17654,6791,10475,3965,9222,9092,6312,38220,2942,13729,12597,19079,24900,17983,11192,30765,21486,37888,43590,10061,40614,30084,29372,24536,26708,181622,48290,26613,27602,34308,37476,31965,27912,14322,33437,8435,10756,21295,7546,4426,3655,12003,10324,11722,41036,9801,15145,8650,24841,27359,35867,46237,45906,29175,34753,84651,23656,39229,43029,28106,77931,22344,19832,16646,20209,15824,54974,21509,9999,16364,43453,24426,26683,28994,8991,12483,6099,5507,7333,11051,10954,17035,19337,32662,28662,16114,14073,14078,14066,13248,10840,11113
25,2019-01-26,4883,12155,27519,58298,21643,10969,9609,4306,3044,10328,2109,3164,7975,6829,13032,6521,8378,5706,9590,3360,6852,7523,2610,29645,2878,11786,10190,16157,18040,15918,9925,30568,20249,30360,45851,5715,36124,25210,24234,20185,13430,185245,48744,22648,22601,34414,38519,28488,22227,11085,26275,7256,7714,17199,8285,3411,1972,8448,8993,9870,36904,7379,12512,7069,20894,20157,33905,43511,38205,23908,33995,91291,18355,39476,39239,23052,73039,18632,16240,10103,15935,11251,64222,16201,11208,16385,24468,20832,18335,22419,7913,10546,5354,2895,6839,8698,10480,17037,15129,24367,25714,13261,12854,12486,11953,11842,8834,9677
26,2019-01-27,4479,10104,21222,47439,14527,8837,7815,3852,2333,7714,1831,2757,8356,6007,11086,5448,6809,3577,7538,3083,5225,6481,2365,21306,2123,11163,8783,13448,15241,14267,8743,28230,17331,23777,49433,4458,30760,21307,19970,18170,14383,179114,42676,17836,19046,33039,33456,26023,21712,8056,20614,6090,6598,15065,7780,2970,1724,7599,7694,9249,38038,6520,11597,6388,16805,16094,29133,38768,32114,20568,30315,83991,14268,33621,31666,19163,62479,14984,13918,8294,14359,10789,58572,12647,11588,15594,17506,17305,15265,19249,6450,8713,4442,2387,5729,7396,8810,16030,12928,20424,23764,10909,9906,10056,9818,10350,7871,8395
27,2019-01-28,5921,16287,42886,50660,24568,15163,12183,4512,3339,13425,2707,3797,7407,8684,12882,17670,17329,5495,9768,3672,8446,8531,5818,30392,2419,12584,11867,17407,22462,16325,10496,28522,19509,35311,33599,9443,38178,28198,27764,23220,27195,166742,43122,25714,24946,26911,32573,28688,25062,13520,31979,7781,10319,18459,6810,3905,2611,10410,9582,10703,38210,8936,14121,7895,22517,26401,33148,41391,43013,27377,32300,80557,21174,37390,39088,25279,68954,20108,17719,14843,17996,14647,53207,19869,9628,15424,41175,26330,25758,27187,8441,11016,5603,5237,6317,10175,10461,15242,19029,30560,25411,15125,12587,12571,13278,12391,10092,10164
28,2019-01-29,5819,16502,43080,53350,24748,15190,12637,4555,3387,13515,2813,3827,9327,8892,13388,18073,17394,5326,9763,3640,8395,8942,5821,33932,2304,12567,11896,17442,22485,16535,11125,29020,19420,35517,35147,9551,38055,28566,27688,22950,27106,157040,43876,25039,25179,27606,32830,29704,25435,13179,31933,7836,10306,18268,6695,3803,3444,11438,9377,10638,37374,9092,13769,7716,22724,26650,33770,41477,43597,27588,32479,77915,22135,35812,40511,25666,66855,20834,18015,14829,17623,15149,34764,19862,9806,15301,41494,23377,25350,26943,7986,10746,5512,5190,6545,10519,10171,14420,18032,31035,26880,14925,12661,12713,13367,12319,10077,9973
29,2019-01-30,5853,16908,43936,55560,24315,15655,12702,4725,3418,13642,2801,3763,9149,9048,13421,19717,17489,5369,10144,3704,8768,8990,5716,36324,2343,12853,11984,18185,22798,16532,10797,28650,20160,36186,34604,9411,38861,29297,28082,23074,27022,157937,44407,25405,24684,28283,32969,30484,26217,13219,32746,8077,10283,18430,6539,4032,3667,11735,9894,11257,38333,9453,14199,7991,22844,26720,34140,41950,44312,28190,32597,78555,21823,37093,40318,25841,68597,21207,18386,15300,18072,14927,34637,20124,9894,15247,41324,24275,25753,27522,8185,11104,5637,5295,6534,10237,10526,14927,18216,31281,26714,15098,12883,12915,13473,12529,10204,10265
30,2019-01-31,5769,16593,43629,56879,24477,15144,12810,4717,3413,13212,2829,3624,8400,8723,13984,17863,16968,5368,9962,3582,8493,8683,5921,32816,2270,12441,11999,17624,22882,17300,11137,28298,19783,35882,35270,9152,38573,28879,27735,23377,26354,155722,45367,24959,24701,27815,32039,28447,25853,13189,31758,7981,10375,18634,6708,3905,3572,11432,9813,11315,37311,9562,14459,7892,22827,26385,34118,42429,44181,28056,34269,76930,21979,37207,41131,26402,70024,21362,18159,15605,17916,14609,34644,19975,9674,15589,41269,23078,26127,26752,8047,10834,5697,5150,6747,10141,10468,14795,18163,30860,26257,15023,12741,12784,13019,12421,9935,10058
31,2019-02-01,6148,16786,41251,59752,22455,14047,12443,4772,3271,13408,2654,3401,6520,8147,12591,17138,16386,5232,10005,3245,8541,8582,5749,31858,2235,12348,11893,17449,21850,16642,11301,27757,20208,34524,34837,8236,38773,28631,27936,23170,23998,156382,47134,24406,24138,25494,31736,28310,25579,12764,31023,7997,10088,18847,6026,3624,3171,11066,9881,9406,33184,9838,14095,8138,22794,25385,34107,43538,43922,28062,32722,79814,20477,35592,42378,25480,69720,21143,18837,14890,18223,13226,34406,19515,9358,16012,39174,26158,24911,26390,7799,10843,5492,5037,6569,9989,10686,15608,17546,30311,26251,14939,12609,12781,13160,12605,9592,10347
32,2019-02-02,3968,9422,19165,48229,12994,7729,7505,3935,2197,7829,1779,2649,7705,5087,9237,4754,5863,3493,7469,2897,5396,6291,2097,29707,1644,9916,8085,12306,13420,12818,8628,23280,14284,20899,25404,3377,28798,20329,18575,16943,8632,122612,38528,17254,15137,19986,29557,23499,18344,8464,20279,5800,5789,14407,5766,2667,1902,7340,7509,8290,35198,6638,9544,6295,16776,16150,25521,32214,30442,19207,28497,68108,11898,27531,30365,16179,50835,15422,13711,7926,13956,8629,25693,12075,10425,13105,15880,15407,14144,16992,5400,7171,3437,2139,4872,6406,8682,13196,11612,17183,20637,9983,9288,9024,9221,9307,6873,7168
33,2019-02-03,3541,6523,13406,38551,9250,5868,5454,3191,1850,5482,1531,2135,8942,3725,7545,3337,4500,2661,5472,2241,3895,4839,1498,11992,1492,8964,6530,10018,10132,10640,6741,16754,11536,15235,22483,2751,22783,15255,14577,13797,6232,98452,30185,12564,12798,16065,25908,19431,15460,6117,15112,4583,4629,12088,4950,2249,1673,6062,5884,7880,33765,5410,7308,4923,12873,11565,19815,25380,22966,15053,24040,58516,9238,21900,23142,12444,40704,11654,10854,6227,9130,7170,22680,8910,9211,10897,11776,7961,10499,13257,4153,5728,2614,1761,4152,5031,6904,9947,8859,12971,17770,7752,7030,7139,7020,7291,5219,5600
34,2019-02-04,2647,4423,8768,20176,5903,3812,3860,2490,1227,4070,965,1206,1666,2448,5135,2244,2618,1799,3893,1282,2510,3005,1079,7574,941,5992,4942,6981,7588,7063,4915,7759,6066,9922,13716,1755,15981,10520,10115,10211,4262,64695,14688,7607,7263,9711,14605,12111,9812,4453,10689,3338,3431,8000,3299,1647,851,4008,4368,5198,20470,3849,4777,3412,8852,7774,11324,16498,14684,10095,18497,34489,5801,8856,11024,5714,21821,8418,7577,4332,5797,4410,16762,6136,4426,5341,7465,4684,7480,8299,2504,3582,1736,1233,3060,3719,4811,5534,6869,8810,10080,4885,4931,4971,4820,5373,3829,3811
35,2019-02-05,3668,6213,10641,31774,6730,4535,4776,2925,1513,5091,1791,2473,15989,2771,8311,2541,3234,2254,5197,2989,3315,5116,1277,10976,1333,11605,6824,9909,9534,9054,5673,12991,7200,11477,17104,2580,21575,15188,14638,16395,5342,117162,25645,12091,11756,23412,32080,21319,13889,5912,14579,5345,8608,11771,6996,3241,2748,20502,6653,12649,63788,5683,9423,5394,13813,10974,22283,29761,22606,14463,63009,68423,6333,17042,15107,13519,52127,8640,11060,5695,10781,9290,33909,8099,5980,7772,9980,6409,9074,22059,3553,6388,3121,1772,5856,5249,6828,8036,7569,37410,11985,7206,8931,7023,7722,8183,5630,5705
36,2019-02-06,4519,6639,12763,33209,7955,5353,5449,3098,1601,5375,1691,3402,19118,3263,8739,3050,3779,2720,5943,3731,3877,6098,1592,12745,1600,13530,7698,10462,10360,9816,6341,14420,8125,12426,21472,2744,23773,16369,15916,16941,6340,141252,26637,12226,12153,23525,35188,24862,15901,6411,16709,5493,8056,13409,8603,2859,1922,14485,7518,13429,76269,6297,10351,5363,13820,11999,22081,33946,23207,15059,43148,68179,6303,18774,17458,17772,52874,9836,11715,6221,12573,10490,35167,9178,6781,8815,11056,6783,9618,19860,4013,6409,3121,1855,5070,5713,7885,8872,8481,20261,14586,8137,8432,8133,8098,8898,6638,6356
37,2019-02-07,4661,7799,14985,40544,9559,5927,6148,3157,1871,6610,2491,4164,27022,3649,10561,3455,4361,3162,6941,4643,4433,7771,2276,14594,1911,15588,8113,11457,11388,10474,6643,18641,9593,13207,23004,2994,25076,17386,17516,17773,8084,175859,33954,14587,14223,27238,41697,30478,17391,6587,18189,5680,8743,14454,10451,2974,2122,16466,8137,17074,89738,6716,11912,5814,15044,13002,25292,40438,25788,15813,46602,80995,7826,25767,23127,25336,66639,10071,11969,6818,16278,12528,41190,10227,7968,10485,12603,7935,10557,24329,4420,7302,3554,1910,5810,6211,8162,10257,9251,21616,16663,9244,9183,8665,8502,9266,7093,6892
